Right ascension,Declination,g_band_magnitude,r_band_magnitude,i_band_magnitude,redshift,Arc Radius $R_A$ (arcsec),Field,Seeing,Exposition,gMi,gMr,rMi
210.4370833,53.0360056,22.01,20.5,19.61,0.56,3.0,W3,0.76,63.0,2.400000000000002,1.5100000000000016,0.8900000000000006
210.4849583,55.7463278,20.79,19.4,18.7,0.5,2.8,W3,,,2.09,1.3900000000000006,0.6999999999999993
210.6995833,57.1477889,23.7,22.75,21.68,1.22,3.2,W3,0.654,80.0,2.0199999999999996,0.9499999999999993,1.0700000000000003
210.9653333,57.3973361,24.08,22.48,21.72,0.51,,W3,0.654,80.0,2.3599999999999994,1.5999999999999979,0.7600000000000016
211.2269167,52.0068611,20.1,18.66,17.88,0.49,2.2,W3,0.538,80.0,2.2200000000000024,1.4400000000000013,0.7800000000000011
211.476375,54.7635222,19.5,18.18,17.49,0.41,2.8,W3,0.542,80.0,2.0100000000000016,1.3200000000000003,0.6900000000000013
212.0575833,54.4855889,20.28,18.79,18.04,0.48,8.0,W3,0.542,80.0,2.240000000000002,1.490000000000002,0.75
212.8355417,52.2027528,20.16,18.75,17.93,0.52,18.4,W3,0.649,80.0,2.2300000000000004,1.4100000000000001,0.8200000000000003
213.4809583,53.7290889,19.03,17.83,17.26,0.29,2.4,W3,0.556,80.0,1.7699999999999996,1.2000000000000028,0.5699999999999967
213.696625,54.7843306,21.19,19.67,18.45,0.63,14.7,W3,0.547,80.0,2.740000000000002,1.5199999999999996,1.2200000000000024
214.1855,56.7044944,22.99,21.41,19.94,1.29,3.5,W3,0.672,80.0,3.049999999999997,1.5799999999999983,1.4699999999999989
214.8007083,53.4365111,21.83,20.3,19.11,0.69,9.9,W3,0.703,63.0,2.719999999999999,1.5299999999999976,1.1900000000000013
214.821875,51.2912861,20.78,19.5,18.72,0.47,4.1,W3,0.777,81.0,2.0600000000000023,1.2800000000000011,0.7800000000000011
215.2606667,52.4951417,17.74,16.79,16.33,0.18,11.7,D3,0.732,81.0,1.4100000000000001,0.9499999999999993,0.46000000000000085
